SpatialDimValueCode,Period,FactValueNumeric,indicator,value
AGO,2014,13.14,Life Expectancy at Birth (years),60.04
AGO,2014,13.14,Mean Years of Schooling (years),3.991
AGO,2015,13.27,Expected Years of Schooling (years),11.749
AGO,2015,13.27,Gross National Income Per Capita (2017 PPP$),7585.829
AGO,2015,13.27,Human Development Index (value),0.591
AGO,2015,13.27,Life Expectancy at Birth (years),60.655
AGO,2015,13.27,Mean Years of Schooling (years),5.316
AGO,2016,12.87,Expected Years of Schooling (years),12.168
AGO,2016,12.87,Gross National Income Per Capita (2017 PPP$),7111.866
AGO,2016,12.87,Human Development Index (value),0.595
AGO,2016,12.87,Life Expectancy at Birth (years),61.092
AGO,2016,12.87,Mean Years of Schooling (years),5.417
AGO,2017,12.36,Expected Years of Schooling (years),12.168
AGO,2017,12.36,Gross National Income Per Capita (2017 PPP$),6772.546
AGO,2017,12.36,Human Development Index (value),0.597
AGO,2017,12.36,Life Expectancy at Birth (years),61.68
AGO,2017,12.36,Mean Years of Schooling (years),5.521
AGO,2018,12.35,Expected Years of Schooling (years),12.168
AGO,2018,12.35,Gross National Income Per Capita (2017 PPP$),6310.064
AGO,2018,12.35,Human Development Index (value),0.598
AGO,2018,12.35,Life Expectancy at Birth (years),62.144
AGO,2018,12.35,Mean Years of Schooling (years),5.627
AGO,2019,12.55,Expected Years of Schooling (years),12.168
AGO,2019,12.55,Gross National Income Per Capita (2017 PPP$),5918.033
AGO,2019,12.55,Human Development Index (value),0.597
AGO,2019,12.55,Life Expectancy at Birth (years),62.448
AGO,2019,12.55,Mean Years of Schooling (years),5.735
ALB,2000,5.23,Expected Years of Schooling (years),10.7
ALB,2000,5.23,Gross National Income Per Capita (2017 PPP$),6065.187
ALB,2000,5.23,Human Development Index (value),0.678
ALB,2000,5.23,Life Expectancy at Birth (years),75.404
ALB,2000,5.23,Mean Years of Schooling (years),8.754
ALB,2001,4.74,Expected Years of Schooling (years),10.918
ALB,2001,4.74,Gross National Income Per Capita (2017 PPP$),6645.339
ALB,2001,4.74,Human Development Index (value),0.687
ALB,2001,4.74,Life Expectancy at Birth (years),75.639
ALB,2001,4.74,Mean Years of Schooling (years),8.824
ALB,2002,4.82,Expected Years of Schooling (years),11.021
ALB,2002,4.82,Gross National Income Per Capita (2017 PPP$),6920.545
ALB,2002,4.82,Human Development Index (value),0.692
ALB,2002,4.82,Life Expectancy at Birth (years),75.89
ALB,2002,4.82,Mean Years of Schooling (years),8.888
ALB,2003,4.94,Expected Years of Schooling (years),11.376
ALB,2003,4.94,Gross National Income Per Capita (2017 PPP$),7341.554
ALB,2003,4.94,Human Development Index (value),0.701
ALB,2003,4.94,Life Expectancy at Birth (years),76.142
ALB,2003,4.94,Mean Years of Schooling (years),8.953
ALB,2004,4.86,Expected Years of Schooling (years),11.501
ALB,2004,4.86,Gross National Income Per Capita (2017 PPP$),7756.637
ALB,2004,4.86,Human Development Index (value),0.707
ALB,2004,4.86,Life Expectancy at Birth (years),76.376
ALB,2004,4.86,Mean Years of Schooling (years),9.018
ALB,2005,7.68,Expected Years of Schooling (years),12.234
ALB,2005,7.68,Gross National Income Per Capita (2017 PPP$),8197.982
ALB,2005,7.68,Human Development Index (value),0.72
ALB,2005,7.68,Life Expectancy at Birth (years),76.621
ALB,2005,7.68,Mean Years of Schooling (years),9.083
ALB,2006,7.83,Expected Years of Schooling (years),12.554
ALB,2006,7.83,Gross National Income Per Capita (2017 PPP$),8814.489
ALB,2006,7.83,Human Development Index (value),0.728
ALB,2006,7.83,Life Expectancy at Birth (years),76.816
ALB,2006,7.83,Mean Years of Schooling (years),9.147
ALB,2007,8.05,Expected Years of Schooling (years),12.973
ALB,2007,8.05,Gross National Income Per Capita (2017 PPP$),9399.456
ALB,2007,8.05,Human Development Index (value),0.74
ALB,2007,8.05,Life Expectancy at Birth (years),77.549
ALB,2007,8.05,Mean Years of Schooling (years),9.212
ALB,2008,8.09,Expected Years of Schooling (years),13.175
ALB,2008,8.09,Gross National Income Per Capita (2017 PPP$),9962.428
ALB,2008,8.09,Human Development Index (value),0.747
ALB,2008,8.09,Life Expectancy at Birth (years),77.653
ALB,2008,8.09,Mean Years of Schooling (years),9.277
ALB,2009,7.96,Expected Years of Schooling (years),13.36
ALB,2009,7.96,Gross National Income Per Capita (2017 PPP$),10153.082
ALB,2009,7.96,Human Development Index (value),0.752
ALB,2009,7.96,Life Expectancy at Birth (years),77.781
ALB,2009,7.96,Mean Years of Schooling (years),9.452
ALB,2010,7.63,Expected Years of Schooling (years),14.172
ALB,2010,7.63,Gross National Income Per Capita (2017 PPP$),10643.043
ALB,2010,7.63,Human Development Index (value),0.766
ALB,2010,7.63,Life Expectancy at Birth (years),77.936
ALB,2010,7.63,Mean Years of Schooling (years),9.627
ALB,2011,7.63,Expected Years of Schooling (years),15.002
ALB,2011,7.63,Gross National Income Per Capita (2017 PPP$),11056.63
ALB,2011,7.63,Human Development Index (value),0.779
ALB,2011,7.63,Life Expectancy at Birth (years),78.092
ALB,2011,7.63,Mean Years of Schooling (years),9.802
ALB,2012,4.82,Expected Years of Schooling (years),15.766
ALB,2012,4.82,Gross National Income Per Capita (2017 PPP$),11146.247
ALB,2012,4.82,Human Development Index (value),0.789
ALB,2012,4.82,Life Expectancy at Birth (years),78.064
ALB,2012,4.82,Mean Years of Schooling (years),10.025
ALB,2013,4.84,Expected Years of Schooling (years),15.996
ALB,2013,4.84,Gross National Income Per Capita (2017 PPP$),11552.966
ALB,2013,4.84,Human Development Index (value),0.793
ALB,2013,4.84,Life Expectancy at Birth (years),78.123
ALB,2013,4.84,Mean Years of Schooling (years),10.015
ALB,2014,4.52,Expected Years of Schooling (years),16.243
ALB,2014,4.52,Gross National Income Per Capita (2017 PPP$),11691.632
ALB,2014,4.52,Human Development Index (value),0.797
ALB,2014,4.52,Life Expectancy at Birth (years),78.407
ALB,2014,4.52,Mean Years of Schooling (years),10.006
ALB,2015,4.23,Expected Years of Schooling (years),15.912
ALB,2015,4.23,Gross National Income Per Capita (2017 PPP$),12016.281
ALB,2015,4.23,Human Development Index (value),0.797
ALB,2015,4.23,Life Expectancy at Birth (years),78.644
ALB,2015,4.23,Mean Years of Schooling (years),9.996
ALB,2016,4.17,Expected Years of Schooling (years),15.449
ALB,2016,4.17,Gross National Income Per Capita (2017 PPP$),12484.607
ALB,2016,4.17,Human Development Index (value),0.795
ALB,2016,4.17,Life Expectancy at Birth (years),78.86
ALB,2016,4.17,Mean Years of Schooling (years),9.986
ALB,2017,4.11,Expected Years of Schooling (years),15.326
ALB,2017,4.11,Gross National Income Per Capita (2017 PPP$),12802.176
ALB,2017,4.11,Human Development Index (value),0.796
ALB,2017,4.11,Life Expectancy at Birth (years),79.047
ALB,2017,4.11,Mean Years of Schooling (years),9.977
ALB,2018,3.94,Expected Years of Schooling (years),15.108
ALB,2018,3.94,Gross National Income Per Capita (2017 PPP$),13302.733
ALB,2018,3.94,Human Development Index (value),0.797
ALB,2018,3.94,Life Expectancy at Birth (years),79.184
ALB,2018,3.94,Mean Years of Schooling (years),10.025
ALB,2019,3.72,Expected Years of Schooling (years),15.178
ALB,2019,3.72,Gross National Income Per Capita (2017 PPP$),13481.972
ALB,2019,3.72,Human Development Index (value),0.8
ALB,2019,3.72,Life Expectancy at Birth (years),79.282
ALB,2019,3.72,Mean Years of Schooling (years),10.073
ARE,2000,8.01,Expected Years of Schooling (years),11.033
ARE,2000,8.01,Gross National Income Per Capita (2017 PPP$),98871.504
ARE,2000,8.01,Human Development Index (value),0.79
ARE,2000,8.01,Life Expectancy at Birth (years),74.38
ARE,2000,8.01,Mean Years of Schooling (years),8.481
ARE,2001,7.89,Expected Years of Schooling (years),11.14
ARE,2001,7.89,Gross National Income Per Capita (2017 PPP$),97738.307
ARE,2001,7.89,Human Development Index (value),0.794
ARE,2001,7.89,Life Expectancy at Birth (years),74.636
ARE,2001,7.89,Mean Years of Schooling (years),8.584
ARE,2002,7.36,Expected Years of Schooling (years),11.246
ARE,2002,7.36,Gross National Income Per Capita (2017 PPP$),91452.148
ARE,2002,7.36,Human Development Index (value),0.798
ARE,2002,7.36,Life Expectancy at Birth (years),74.901
ARE,2002,7.36,Mean Years of Schooling (years),8.686
ARE,2003,6.8,Expected Years of Schooling (years),11.353
ARE,2003,6.8,Gross National Income Per Capita (2017 PPP$),93965.923
ARE,2003,6.8,Human Development Index (value),0.807
ARE,2003,6.8,Life Expectancy at Birth (years),76.222
ARE,2003,6.8,Mean Years of Schooling (years),8.788
ARE,2004,6.78,Expected Years of Schooling (years),11.46
ARE,2004,6.78,Gross National Income Per Capita (2017 PPP$),98831.89
ARE,2004,6.78,Human Development Index (value),0.811
ARE,2004,6.78,Life Expectancy at Birth (years),76.453
ARE,2004,6.78,Mean Years of Schooling (years),8.891
ARE,2005,6.76,Expected Years of Schooling (years),11.566
ARE,2005,6.76,Gross National Income Per Capita (2017 PPP$),97835.457
ARE,2005,6.76,Human Development Index (value),0.815
ARE,2005,6.76,Life Expectancy at Birth (years),76.683
ARE,2005,6.76,Mean Years of Schooling (years),8.993
ARE,2006,6.92,Expected Years of Schooling (years),11.673
ARE,2006,6.92,Gross National Income Per Capita (2017 PPP$),94550.086
ARE,2006,6.92,Human Development Index (value),0.82
ARE,2006,6.92,Life Expectancy at Birth (years),76.909
ARE,2006,6.92,Mean Years of Schooling (years),9.161
ARE,2007,6.82,Expected Years of Schooling (years),11.78
ARE,2007,6.82,Gross National Income Per Capita (2017 PPP$),82420.642
ARE,2007,6.82,Human Development Index (value),0.825
ARE,2007,6.82,Life Expectancy at Birth (years),77.129
ARE,2007,6.82,Mean Years of Schooling (years),9.329
ARE,2008,6.69,Expected Years of Schooling (years),11.886
ARE,2008,6.69,Gross National Income Per Capita (2017 PPP$),69933.532
ARE,2008,6.69,Human Development Index (value),0.827
ARE,2008,6.69,Life Expectancy at Birth (years),77.488
ARE,2008,6.69,Mean Years of Schooling (years),9.497
ARE,2009,6.58,Expected Years of Schooling (years),11.993
ARE,2009,6.58,Gross National Income Per Capita (2017 PPP$),57728.35
ARE,2009,6.58,Human Development Index (value),0.825
ARE,2009,6.58,Life Expectancy at Birth (years),78.003
ARE,2009,6.58,Mean Years of Schooling (years),9.665
ARE,2010,6.42,Expected Years of Schooling (years),12.1
ARE,2010,6.42,Gross National Income Per Capita (2017 PPP$),54658.849
ARE,2010,6.42,Human Development Index (value),0.828
ARE,2010,6.42,Life Expectancy at Birth (years),78.334
ARE,2010,6.42,Mean Years of Schooling (years),9.834
ARE,2011,6.29,Expected Years of Schooling (years),12.206
ARE,2011,6.29,Gross National Income Per Capita (2017 PPP$),57850.565
ARE,2011,6.29,Human Development Index (value),0.835
ARE,2011,6.29,Life Expectancy at Birth (years),78.517
ARE,2011,6.29,Mean Years of Schooling (years),10.002
ARE,2012,6.13,Expected Years of Schooling (years),12.313
ARE,2012,6.13,Gross National Income Per Capita (2017 PPP$),60013.463
ARE,2012,6.13,Human Development Index (value),0.841
ARE,2012,6.13,Life Expectancy at Birth (years),78.716
ARE,2012,6.13,Mean Years of Schooling (years),10.17
ARE,2013,5.91,Expected Years of Schooling (years),12.42
ARE,2013,5.91,Gross National Income Per Capita (2017 PPP$),62449.025
ARE,2013,5.91,Human Development Index (value),0.847
ARE,2013,5.91,Life Expectancy at Birth (years),78.853
ARE,2013,5.91,Mean Years of Schooling (years),10.338
ARE,2014,5.6,Expected Years of Schooling (years),12.526
ARE,2014,5.6,Gross National Income Per Capita (2017 PPP$),64464.603
ARE,2014,5.6,Human Development Index (value),0.853
ARE,2014,5.6,Life Expectancy at Birth (years),79.044
ARE,2014,5.6,Mean Years of Schooling (years),10.506
ARE,2015,5.25,Expected Years of Schooling (years),12.633
ARE,2015,5.25,Gross National Income Per Capita (2017 PPP$),68400.742
ARE,2015,5.25,Human Development Index (value),0.86
ARE,2015,5.25,Life Expectancy at Birth (years),79.223
ARE,2015,5.25,Mean Years of Schooling (years),10.674
ARE,2016,4.97,Expected Years of Schooling (years),12.74
ARE,2016,4.97,Gross National Income Per Capita (2017 PPP$),71631.753
ARE,2016,4.97,Human Development Index (value),0.866
ARE,2016,4.97,Life Expectancy at Birth (years),79.335
ARE,2016,4.97,Mean Years of Schooling (years),10.843
ARE,2017,4.78,Expected Years of Schooling (years),14.212
ARE,2017,4.78,Gross National Income Per Capita (2017 PPP$),71688.628
ARE,2017,4.78,Human Development Index (value),0.898
ARE,2017,4.78,Life Expectancy at Birth (years),79.504
ARE,2017,4.78,Mean Years of Schooling (years),12.055
ARE,2018,5.01,Expected Years of Schooling (years),15.484
ARE,2018,5.01,Gross National Income Per Capita (2017 PPP$),71793.002
ARE,2018,5.01,Human Development Index (value),0.917
ARE,2018,5.01,Life Expectancy at Birth (years),79.627
ARE,2018,5.01,Mean Years of Schooling (years),12.484
ARE,2019,5.24,Expected Years of Schooling (years),16.757
ARE,2019,5.24,Gross National Income Per Capita (2017 PPP$),72131.135
ARE,2019,5.24,Human Development Index (value),0.933
ARE,2019,5.24,Life Expectancy at Birth (years),79.726
ARE,2019,5.24,Mean Years of Schooling (years),12.694
ARG,2000,9.2,Expected Years of Schooling (years),15.688
ARG,2000,9.2,Gross National Income Per Capita (2017 PPP$),18080.925
ARG,2000,9.2,Human Development Index (value),0.78
ARG,2000,9.2,Life Expectancy at Birth (years),73.926
ARG,2000,9.2,Mean Years of Schooling (years),8.8
ARG,2001,10.31,Expected Years of Schooling (years),16.306
ARG,2001,10.31,Gross National Income Per Capita (2017 PPP$),17058.178
ARG,2001,10.31,Human Development Index (value),0.785
ARG,2001,10.31,Life Expectancy at Birth (years),74.186
ARG,2001,10.31,Mean Years of Schooling (years),8.867
ARG,2002,10.28,Expected Years of Schooling (years),16.393
ARG,2002,10.28,Gross National Income Per Capita (2017 PPP$),14647.648
ARG,2002,10.28,Human Development Index (value),0.785
ARG,2002,10.28,Life Expectancy at Birth (years),74.408
ARG,2002,10.28,Mean Years of Schooling (years),9.391
ARG,2003,9.66,Expected Years of Schooling (years),16.266
ARG,2003,9.66,Gross National Income Per Capita (2017 PPP$),15976.101
ARG,2003,9.66,Human Development Index (value),0.793
ARG,2003,9.66,Life Expectancy at Birth (years),74.08
ARG,2003,9.66,Mean Years of Schooling (years),9.915
ARG,2004,8.68,Expected Years of Schooling (years),16.299
ARG,2004,8.68,Gross National Income Per Capita (2017 PPP$),15983.828
ARG,2004,8.68,Human Development Index (value),0.798
ARG,2004,8.68,Life Expectancy at Birth (years),74.855
ARG,2004,8.68,Mean Years of Schooling (years),10.007
ARG,2005,8.54,Expected Years of Schooling (years),16.018
ARG,2005,8.54,Gross National Income Per Capita (2017 PPP$),17191.187
ARG,2005,8.54,Human Development Index (value),0.802
ARG,2005,8.54,Life Expectancy at Birth (years),75.139
ARG,2005,8.54,Mean Years of Schooling (years),10.099
ARG,2006,8.53,Expected Years of Schooling (years),16.174
ARG,2006,8.53,Gross National Income Per Capita (2017 PPP$),20034.446
ARG,2006,8.53,Human Development Index (value),0.814
ARG,2006,8.53,Life Expectancy at Birth (years),75.433
ARG,2006,8.53,Mean Years of Schooling (years),10.191
ARG,2007,8.17,Expected Years of Schooling (years),16.189
ARG,2007,8.17,Gross National Income Per Capita (2017 PPP$),21766.029
ARG,2007,8.17,Human Development Index (value),0.817
ARG,2007,8.17,Life Expectancy at Birth (years),75.006
ARG,2007,8.17,Mean Years of Schooling (years),10.299
ARG,2008,8.59,Expected Years of Schooling (years),16.382
ARG,2008,8.59,Gross National Income Per Capita (2017 PPP$),22448.224
ARG,2008,8.59,Human Development Index (value),0.825
ARG,2008,8.59,Life Expectancy at Birth (years),75.641
ARG,2008,8.59,Mean Years of Schooling (years),10.406
ARG,2009,8.35,Expected Years of Schooling (years),16.71
ARG,2009,8.35,Gross National Income Per Capita (2017 PPP$),20779.32
ARG,2009,8.35,Human Development Index (value),0.827
ARG,2009,8.35,Life Expectancy at Birth (years),75.936
ARG,2009,8.35,Mean Years of Schooling (years),10.543
ARG,2010,8.43,Expected Years of Schooling (years),17.029
ARG,2010,8.43,Gross National Income Per Capita (2017 PPP$),22733.143
ARG,2010,8.43,Human Development Index (value),0.834
ARG,2010,8.43,Life Expectancy at Birth (years),75.721
ARG,2010,8.43,Mean Years of Schooling (years),10.6
ARG,2011,8.42,Expected Years of Schooling (years),17.264
ARG,2011,8.42,Gross National Income Per Capita (2017 PPP$),23942.434
ARG,2011,8.42,Human Development Index (value),0.842
ARG,2011,8.42,Life Expectancy at Birth (years),76.124
ARG,2011,8.42,Mean Years of Schooling (years),10.7
ARG,2012,8.96,Expected Years of Schooling (years),17.235
ARG,2012,8.96,Gross National Income Per Capita (2017 PPP$),23555.623
ARG,2012,8.96,Human Development Index (value),0.844
ARG,2012,8.96,Life Expectancy at Birth (years),76.467
ARG,2012,8.96,Mean Years of Schooling (years),10.785
ARG,2013,8.45,Expected Years of Schooling (years),17.234
ARG,2013,8.45,Gross National Income Per Capita (2017 PPP$),23913.501
ARG,2013,8.45,Human Development Index (value),0.846
ARG,2013,8.45,Life Expectancy at Birth (years),76.491
ARG,2013,8.45,Mean Years of Schooling (years),10.895
ARG,2014,9.16,Expected Years of Schooling (years),17.422
ARG,2014,9.16,Gross National Income Per Capita (2017 PPP$),23086.017
ARG,2014,9.16,Human Development Index (value),0.847
ARG,2014,9.16,Life Expectancy at Birth (years),76.755
ARG,2014,9.16,Mean Years of Schooling (years),10.909
ARG,2015,8.1,Expected Years of Schooling (years),17.585
ARG,2015,8.1,Gross National Income Per Capita (2017 PPP$),23506.881
ARG,2015,8.1,Human Development Index (value),0.85
ARG,2015,8.1,Life Expectancy at Birth (years),76.76
ARG,2015,8.1,Mean Years of Schooling (years),10.918
